ID,가중치,수행단계,도메인,TASK,담당-메인,담당-서브,산출물
,,,,,,,,
,,,,,,,,
,,단계,,TASK,메인,서브,산출물
,,수행단계,,,,,,
,,,,,,,
1,10.00%,준비/분석,,기능 요구사항 분석 및 유스케이스 정의,공통,,기능명세서
,,,, API 명세서 작성 (외부 5종 + AI 2종),공통,,API 명세서 7종
,,,,화면 목록표 정의 (38개 화면 IA 구조),공통,,화면목록표
,,,,ERD 설계 및 테이블 관계 정의,공통,,ERD.md
,,,,외부 API 연동 조사 및 통합 명세서 작성,공통,,외부API통합명세서
,,,,WBS 작성 및 일정 수립,공통,,WBS 스프레드시트
2,15.00%,설계,,DB 스키마 확정 및 DDL 스크립트 생성,지윤,,DDL 스크립트
,,,,화면설계 - 랜딩 (비회원 CTA 소개),지윤,,L-01 랜딩화면
,,,,화면설계 - 인증 (로그인/회원가입/비밀번호찾기),지윤,,AU-01~03 인증화면
,,,,화면설계 - 농장관리 (관리/등록/종자구매),지은,,FM-01~03 농장화면
,,,,화면설계 - 밸런스 (수급 목록/상세 차트),지은,,BL-01~02 밸런스화면
,,,,화면설계 - 추천 (AI 결과/근거 상세),지은,,RC-01~02 추천화면
,,,,화면설계 - 상점 (탐색/상세/장바구니/결제),나은,,SH-01~04 상점화면
,,,,화면설계 - 커뮤니티 (목록/상세/작성),우혁,,CM-01~03 커뮤니티화면
,,,,화면설계 - 정책 (검색/필터/조회),수경,,PO-01 정책화면
,,,,화면설계 - 가게 (카카오맵 지도),수경,,ST-01 가게화면
,,,,화면설계 - 마이페이지 (프로필/주문/판매/알림),지윤,나은/우혁,MP-01~05 마이페이지화면
,,,,화면설계 - 지자체 (대시보드/통계/다운로드),수경,,GV-01~05 지자체화면
,,,,화면설계 - 관리자 (대시보드/사용자/승인/기준),현석,,AD-01~08 관리자화면
,,,,API 상세 설계 — 엔드포인트/DTO 정의 (프로그램 사양서),공통,,API 사양서
3,35.00%,구현,공통,[Infra] Docker + PostgreSQL + Redis 환경 구성,지윤,,docker-compose.yml
,,,공통,[BE] Spring Boot 초기 설정 (build.gradle 의존성),지윤,,build.gradle
,,,공통,[BE] 헥사고날 아키텍처 패키지 구조 생성 (Domain/Application/Adapter),지윤,,패키지 구조 문서
,,,공통,[BE] API 응답 틀셋 구현 (ApiResponse/ErrorCode/GlobalExceptionHandler),지윤,,ApiResponse.java
,,,공통,[BE] JWT 인증/인가 필터 구현 (SecurityConfig + JwtProvider),지윤,,SecurityConfig.java
,,,공통,[BE] OAuth2 소셜 로그인 어댑터 구현 (카카오),지윤,,OAuth2Adapter.java
,,,공통,[BE] 파일 업/다운로드 공통 모듈,지윤,나은,FileService.java
,,,공통,[FE] BFF(Next.js) 프록시 계층 구축 — API Key 은닉,지윤,,middleware.ts
,,,공통,[FE] 공통 UI 컴포넌트 (버튼/입력/테이블/모달/스켈레톤),지윤,,components/common/**
,,,공통,[Infra] Nginx 리버스 프록시 설정,지윤,,nginx.conf
,,,화면,[FE] 랜딩 + auth 도메인 (로그인/회원가입/비밀번호찾기 — 4화면),지윤,,app/auth/**
,,,화면,[FE] farm 도메인 (농장관리/등록/종자구매 — 3화면),지은,,app/farm/**
,,,화면,[FE] balance 도메인 (수급 목록/상세 차트 — 2화면),지은,,app/balance/**
,,,화면,[FE] recommend 도메인 (AI 추천 목록/상세 — 2화면),지은,,app/recommend/**
,,,화면,[FE] shop 도메인 (탐색/상세/장바구니/결제 — 4화면),나은,,app/shop/**
,,,화면,[FE] community 도메인 (게시판 목록/상세/작성 — 3화면),우혁,,app/community/**
,,,화면,[FE] policy + stores 도메인 (정책 조회 + 카카오맵 — 2화면),수경,,app/policy/** + app/stores/**
,,,화면,[FE] mypage — 프로필/주문 (2화면),지윤,,app/mypage/profile + orders
,,,화면,[FE] mypage — 판매관리 (2화면),나은,,app/mypage/seller-*
,,,화면,[FE] mypage — 알림 (1화면),우혁,,app/mypage/notifications
,,,화면,[FE] gov 도메인 (대시보드/통계/비교/다운로드 — 5화면),수경,,app/gov/**
,,,화면,[FE] admin 도메인 (대시보드/사용자/승인/기준/엔진 — 8화면),현석,,app/admin/**
,,,화면,[FE] 챗봇 대화 화면 (CB-01),우혁,,app/chatbot/**
,,,기능,[BE] auth — 회원가입/로그인/OAuth2/비밀번호 재설정 API,지윤,,인증 REST API / DB 어댑터
,,,기능,[BE] farm — 농장 CRUD + PNU 생성 + 종자 이력 API,지은,,농장 REST API / DB 어댑터
,,,기능,[BE] balance — 수급 조회 + 비율 계산 + 차트 데이터 API,지은,,밸런스 REST API / 엔진 서비스
,,,기능,[BE] recommend — AI 추천 점수 산출 + 이력 저장 API,지은,,추천 REST API / DB 어댑터
,,,기능,[BE] shop — 상품 CRUD + 장바구니 + 주문/결제 API,나은,,상점 REST API / DB 어댑터
,,,기능,[BE] community — 게시글 CRUD + 댓글 + 신고 API,우혁,,커뮤니티 REST API / DB 어댑터
,,,기능,[BE] policy + stores — 정책 검색 + 가게 카카오맵 연동 API,수경,,정책·가게 REST API
,,,기능,[BE] mypage — 프로필/주문이력/판매자관리/알림 API,지윤,나은/우혁,마이페이지 REST API
,,,기능,[BE] gov — 대시보드 집계 + 비교 분석 + CSV 다운로드 API,수경,,지자체 REST API
,,,기능,[BE] admin — 사용자 관리 + 승인 + 기준정보 + 엔진 설정 API,현석,,관리자 REST API / DB 어댑터
,,,기능,[Infra] 외부 API — 카카오맵 어댑터 (주소→좌표 격자변환),수경,,카카오맵 어댑터
,,,기능,[Infra] 외부 API — 기상청 어댑터 (단기예보 + ASOS 배치),지은,,기상청 어댑터
,,,기능,[Infra] 외부 API — 흙토람 어댑터 (PNU→토양 7종 성분),지은,,흙토람 어댑터
,,,기능,[Infra] 외부 API — 농사로 어댑터 (2-Step + HTML 정제),나은,,농사로 어댑터
,,,기능,[Infra] 외부 API — KOSIS 어댑터 (10년 생산량 배치 적재),지은,,KOSIS 어댑터
,,,기능,[Infra] 외부 API 공통 — Retry/CircuitBreaker/Fallback,현석,,ExternalApiRetryPolicy
,,,기능,[AI] Gemini 연동 — 추천 사유 생성 + 이미지 병해충 진단,지은,나은,Gemini AI 어댑터
,,,기능,[AI] Bedrock 연동 — RAG 상담 + Agent Lambda 자동화,현석,,Bedrock RAG/Agent 어댑터
,,,기능,[Engine] 수급 밸런스 엔진 (4항목 가중 점수 산출),지은,,BalanceScoreEngine
,,,기능,[Infra] 알림 시스템 — FCM 푸시 + 알림 이력 DB,우혁,,FCM 알림 서비스 / DB 어댑터
,,,기능,[Infra] Redis 캐싱 전략 (기상3h/토양24h/AI 1h),우혁,,CacheManager
,,,기능,[챗봇] 공통 백엔드 — WebSocket + 세션관리 + 메시지 라우터,지윤,,ChatRouter / SessionManager
,,,기능,[챗봇] 작물 추천 Agent (Gemini 기반),지은,,작물 추천 Agent
,,,기능,[챗봇] 상품/정책 Agent (Gemini 기반),나은,수경,상품/정책 Agent
,,,기능,[챗봇] 커뮤니티 상담 Agent (Gemini 기반),우혁,,커뮤니티 상담 Agent
,,,기능,[챗봇] 관리자 분석 Agent + RAG 전문 상담,현석,,관리자 분석 Agent / RAG
4,20.00%,테스트,,핵심 루트 E2E 테스트 (주소입력→추천→상담→결과),공통,,테스트 결과 보고서
,,,,단위 테스트 + API 통합 테스트 (Postman/Swagger),공통,,JUnit5 리포트 / Postman Collection
,,,,프론트-백 연동 + 크로스 브라우저 테스트,공통,,연동 체크리스트 / 호환성 보고서
,,,,버그 수정 및 QA,공통,,Swagger 문서 / 버그 수정 내역
5,15.00%,이행,,도커 프로덕션 빌드 + HTTPS + 배포,지윤,,프로덕션 배포 완료
,,,,DB 마이그레이션 + 운영 데이터 초기 적재,지윤,지은,마이그레이션 스크립트 / 초기 데이터셋
,,,,Bedrock Knowledge Base 구성 (S3 PDF 업로드),현석,,Knowledge Base 구성 완료
,,,,최종 발표 자료 준비 + 산출물 정리,공통,,PPT / 시연 영상 / 산출물 ZIP
